Id,Sku,Title,Locations,Hybridizer,Released,Colors
1828,1828-TB,Loop The Loop,18-W-20,Schreiner,1975,
1829,1829-TB,Lotto Winner,20-E-16,Lynda Miller,2017,
1830,1830-TB,Loving You,20-E-12,Lesley Painter,2011,
1831,1831-TB,Lullaby Of Spring,17-W-40,Schreiner,1987,
1832,1832-TB,Magic Mirror,"18-E-46,  C-43-3",Joseph Ghio,2015,
1833,1833-TB,Mallory Kay,19-W-7,Larry Johnson,1998,
1834,1834-TB,Mango Passion,19-E-6,Larry Lauer,2005,
1835,1835-TB,Mango Queen,18-E-19,Frederick Kerr,2013,
1836,1836-TB,Marcy Michele,18-E-27,Larry Lauer,1996,
1837,1837-TB,Mardi Gras Music,20-E-52,Donald Sorensen,2004,
1838,1838-TB,Mary Frances,18-E-17,Larry Gaulter,1973,
1839,1839-TB,Mastery,20-E-23,Berry Blyth,2001,
1840,1840-IB,Maui Moonlight,19-W-9,J. T. Aitken,1987,
1841,1841-TB,Mean Sharon,18-E-13,Nancy Price,2014,
1842,1842-TB,Melted Sunshine,18-E-42,Chun Fan,2003,
1843,1843-TB,Minnesota Glitters,18-W-6,Bakke-Messer,1967,
1844,1844-TB,My Old Friend,19-E-7,B. Hager by Cooley's Gardens,2002,
1845,1845-TB,Mystic Image,19-W-12,Richard Tasco,2016,
1846,1846-TB,Naturally Sweet,"7-W-50,  17-W-30",Margie Valenzuela,2012,
1847,1847-TB,Nightmare,20-E-51,Jim Hedgecock,2006,
1848,1848-TB,Nora Eileen,"8-E-3,  20-E-42",Gerald Richardson,1994,
1849,1849-TB,Oasis Red,19-W-27,Keith Chadwick/Kathy White,2001,
1850,1850-TB,Oasis Royal Charm,18-E-31,K Chadwick / L Morrison,2002,
1851,1851-TB,Obi-Wan-Kenobi,20-E-44,Clarence Mahan,2003,
1852,1852-TB,Offspring,"17-W-50,  C-6-6",Larry Lauer,2018,
1853,1853-TB,Okapi Poppy,17-W-46,Brad Kasperek,2004,
1854,1854-TB,Olympiad,18-E-50,Joseph Ghio,1984,
1858,1858-TB,Orangutan Orange,18-E-21,Brad Kasperek,2009,
1859,1859-TB,Orchid Cloud,18-E-37,Charles Applegate,1974,
1861,1861-TB,Over And Over,18-E-10,Sterling Innerst,2001,
1862,1862-TB,Passion Play,19-E-44,Larry Lauer,2005,
1863,1863-TB,Passionate Kisses,"16-E-19,  20-E-49",Joseph Ghio,2012,
1864,1864-TB,Path To Heaven,19-W-33,Joseph Ghio,2016,
1865,1865-TB,Peach Everglow,20-E-37,Barbara Wight,1986,
1866,1866-TB,Peekaboo Zebu,"18-E-35,  C-47-1",Brad Kasperek,2005,
1867,1867-TB,Perfect Couple,19-W-54,Joseph Ghio,1984,
1868,1868-TB,Pinafore Pink,20-E-33,Schreiner,1978,
1869,1869-TB,Pink Confetti,20-E-13,James Gibson,1976,
1870,1870-TB,Pink Waterfalls,19-E-27,O. D. Niswonger,2016,
1871,1871-TB,Pleasant Surprise,18-E-4,B. Hager by Cooley's Gardens,2001,
1872,1872-TB,Pond Lily,18-E-51,Evelyn Jones,1995,
1873,1873-TB,Princess Of Paradise,20-E-32,Anna & David Cadd,2002,
1874,1874-TB,Progressive Attitude,19-W-48,Sterling Innerst,1992,
1875,1875-TB,Quack Quack,"18-W-10,  19-W-36",Paul Black,2016,
1876,1876-TB,Queen Eleanor Of Aquitaine,17-W-47,Lowell Baumunk,2007,
1877,1877-TB,Queen In Calico,"19-E-31,  21-E-14",James Gibson,1980,
1878,1878-TB,Queen's Robe,20-E-26,Frederick Kerr,2011,
1879,1879-TB,Rainbow Shadows,18-E-14,Frederick Kerr,2011,
1880,1880-TB,Rare Coin,"9-E-11,  18-E-52,  C-36-11",Joseph Ghio,2014,
1881,1881-TB,Raspberry Fudge,"20-E-40,  21-E-3",Keith Keppel,1989,
1882,1882-TB,Rhapsody In Peach,17-W-28,A. & D. Cadd,2001,
1883,1883-TB,Rio,"8-W-20,  20-E-7",Keith Keppel,2001,
1884,1884-TB,Risso,19-W-35,David Toth,2017,
1885,1885-TB,Riverboat Gambler,17-W-38,Donald Sorensen,2002,
1886,1886-TB,Rogue,20-E-8,Joseph Ghio,1996,
1887,1887-TB,Ron,20-E-41,Melba Hamblen,1981,
1888,1888-TB,Roney's Encore,20-E-39,D. Spoon by M. Shawe,1997,
1889,1889-TB,Royal Warrant,"18-W-15,  19-W-43",Frederick Kerr,1998,
1890,1890-TB,Rum And Coke,18-E-34,John Painter,2011,
1891,1891-TB,Rumbleseat,18-E-43,Sterling Innerst,1991,
1892,1892-TB,Rustic Charm,20-E-11,Lesley Painter,2017,
1893,1893-TB,Rustler,17-W-37,Keith Keppel,1988,
1894,1894-TB,Sammie's Jammies,18-E-48,Tom Burseen,2010,
1895,1895-TB,Sandy Beach,17-E-46,Larry Lauer,1998,
1896,1896-TB,Scottish Warrior,20-E-30,George Sutton,2002,
1897,1897-TB,Secret Melody,"17-W-49,  18-E-15",Schreiner,1988,
1898,1898-TB,Senior Moment,18-W-17,Gerald Richardson,2006,
1899,1899-TB,September Frost,18-E-44,George Sutton,1998,
1900,1900-TB,Serengeti Spaghetti,18-W-40,Brad Kasperek,1999,
1901,1901-TB,Shadow Warrior,18-W-34,Frederick Kerr,2002,
1902,1902-TB,Sheer Fantasy,18-E-47,Larry Lauer,2001,
1903,1903-TB,Skating Party,17-E-36,Larry Gaulter,1983,
1904,1904-TB,Skipalong,18-W-31,Joseph Ghio,1996,
1905,1905-TB,Solar Drama,19-E-34,Lesley Painter,2011,
1906,1906-TB,Spin-Off,20-E-45,Maryott's Garden,1987,
1907,1907-TB,Spring Kiss,19-E-29,Paul Black,2000,
1908,1908-TB,Staying Alive,17-E-43,Larry Lauer,2008,
1909,1909-TB,Storm Rider,20-E-38,Richard Tasco,2013,
1910,1910-TB,Storm Track,20-E-36,Keith Keppel,2001,
1911,1911-TB,Straight Up,20-E-48,Michael Sutton,2005,
1912,1912-TB,Street Walker,17-W-32,Duane Meek,1984,
1913,1913-TB,Sugar Dumpling,18-E-39,Bruce Filardi,2014,
1914,1914-TB,Sunny Slope,20-E-31,"G. Sutton, by M. Sutton",2014,
1915,1915-TB,Superhero,"6-E-45,  18-W-32",Joseph Ghio,2012,
1916,1916-TB,Suspicion,"5-E-56,  17-E-35",Keith Keppel,1999,
1917,1917-TB,Sweet Child Of Mine,18-W-28,Larry Lauer,2015,
1918,1918-TB,Sweetwater Pie Burns,19-E-9,Tom Burseen,2014,
1919,1919-TB,Three Octaves,20-E-6,D.C. Nearpass by Donald Spoon,2004,
1920,1920-TB,Ticket To Ride,19-E-12,Larry Lauer,2002,
1921,1921-TB,Tiff,19-W-41,Larry Lauer,2014,
1922,1922-TB,Tiger Butter,17-W-5,Richard Ernst,1986,
1923,1923-TB,Tiki Torch,17-E-50,Oscar Schick,1999,
1924,1924-TB,Tomcat,17-E-49,Larry Lauer,2005,
1925,1925-TB,T-Rex,19-W-14,Gerald Richardson,2002,
1926,1926-TB,Tunnel Vision,18-W-44,Keith Keppel,2010,
1927,1927-TB,Under My Spell,20-W-8,Richard Tasco,2016,
1928,1928-TB,User Friendly,17-E-34,Tom Burseen,2015,
1929,1929-TB,Vanishing Act,20-E-28,Betty Wilkerson,2004,
1930,1930-TB,Vanity's Child,"19-E-32,  19-W-45",Ted Olson,1985,
1931,1931-TB,Vibrato,17-W-22,Lesley Painter,2015,
1932,1932-TB,Voltage,19-E-36,Virginia Messick,1993,
1933,1933-TB,Waves Of Joy,19-W-24,Richard Tasco,2015,
1934,1934-TB,West Coast,20-E-55,M. Knopf,1968,
1935,1935-BB,Whispering Fairy,18-E-18,Anna & David Cadd,2003,
1936,1936-TB,Widdershins,"8-W-26,  17-E-41",Merle Roberts,1999,
1937,1937-TB,Wonderful To See,17-E-47,Frederick Kerr,2001,
1938,1938-TB,Yosemite Nights,20-E-17,George Sutton,2004,
1939,1939-TB,Asian Inspiration,10-W-64,Robert Van Liere,2018,
1940,1940-TB,Blockbuster,10-E-21,Gerald Richardson,2010,
1941,1941-TB,Cherish You,"10-E-33,  10-W-62,  10-W-65",Robert Van Liere,2015,
1942,1942-TB,Class Reunion,10-W-53,Robert Van Liere,2018,
1943,1943-TB,Colorado Expressions,10-E-28,Robert Van Liere,2012,
1944,1944-TB,Courtship Dancing,10-W-60,Robert Van Liere,2022,
1945,1945-TB,Denver Pioneer,C-14-9,Robert Van Liere,2016,
1946,1946-TB,Ella Leeuw Van Liere,10-E-19,Robert Van Liere,2009,
1949,1949-TB,Fragrant Offering,"10-E-27,  12-E-21",Robert Van Liere,2016,
1950,1950-TB,Glassy Sea,10-E-20,Robert Van Liere by Iris4U,2020 - not registered,
1951,1951-TB,Global Crossing,C-18-3,Robert Van Liere,2011,
1952,1952-TB,Grins 'N Giggles,10-E-22,Robert Van Liere,2022,
1953,1953-TB,Ignition Point,C-27-1,Robert Van Liere,2022,
1956,1956-TB,Maui Wowie,C-13-2,Robert Van Liere,2021,
1957,1957-TB,Mayan Warrior,10-E-31,Robert Van Liere,2022,
1958,1958-TB,Mayan Warrior Queen,10-E-25,Robert Van Liere by Iris4U,2021 - not registered,
1960,1960-TB,Mixed Berry Tart,10-E-23,Robert Van Liere,2011,
1961,1961-TB,Monday Morning Blues,10-E-30,Robert Van Liere,2012,
1962,1962-TB,My Embrace,10-E-32,Robert Van Liere,2015,
1963,1963-TB,Native American,10-W-56,Robert Van Liere,2021,
1964,1964-TB,Noble Pursuit,10-W-57,Robert Van Liere,2021,
1967,1967-TB,Potentiality,10-W-66,Robert Van Liere,2021,
1968,1968-TB,Queen And Her Court,10-W-59,Robert Van Liere by Iris4U,2021 - not registered,
1969,1969-TB,Sailors Delight,10-W-55,Robert Van Liere,2019,
1970,1970-TB,Sing Like Never Before,10-E-24,Robert Van Liere,2019,
1971,1971-TB,Sisters Of Loretto,10-E-26,Robert Van Liere,2006,
1972,1972-TB,Sonic Bloom,10-E-18,Robert Van Liere,2022,
1973,1973-TB,Spades,10-W-54,Lesley Painter,2008,
1974,1974-TB,Tequila Sunset,10-W-67,Robert Van Liere,2021,
1975,1975-TB,Tuscan Summer,10-W-61,Keith Keppel,2010,
1976,1976-TB,Zion's Horn,10-W-63,Robert Van Liere,2019,
1977,1977-TB,Choose A Dream,9-W-47,Barry Blyth,2018,
1978,1978-TB,Clean Energy,"9-W-51,  C-5-4",Keith Keppel,2018,
1979,1979-TB,Color Capers,"4-E-15,  9-W-46,  B-6-3",Keith Keppel,2020,
1980,1980-TB,Easter Charm,"9-W-49,  13-W-2,  B-31-1",Keith Keppel,2019,
1981,1981-TB,Eye For Fashion,9-W-55,Barry Blyth,2016,
1982,1982-TB,Final Offer,9-W-39,Keith Keppel,2021,
1983,1983-TB,Handsome Devil,"9-W-52,  B-40-1",Keith Keppel,2021,Wine
1984,1984-TB,Hold The Line,"9-W-57,  A-41-2",Keith Keppel,2019,
1985,1985-TB,I'm Smitten,9-W-40,Barry Blyth,2018,
1986,1986-TB,Miss Independent,"6-E-13,  13-E-23",Robin Shadlow,2023,
1987,1987-TB,Morning Minuet,9-W-37,Robin Shadlow,2021,
1988,1988-TB,Musical Chairs,"5-W-47,  5-W-48,  8-E-9,  9-W-45,  B-32-2,  B-44-4,  C-32-0",Keith Keppel,2019,
1989,1989-TB,Nevertheless,"9-W-50,  B-41-3,  B-42-2,  C-7-11,  C-43-5",Keith Keppel,2021,
1990,1990-TB,Noble Heritage,9-W-54,Barry Blyth,2017,
1991,1991-TB,Pastel Patterns,"4-E-17,  4-E-18,  4-E-19,  B-37-2,  C-10-4",Keith Keppel,2021,"Cream, Blue, Violet, White"
1992,1992-TB,Power Of Dreams,9-W-38,Barry Blyth,2019,
1993,1993-TB,Space Signal,"9-W-53,  B-27-2",Keith Keppel,2018,
1994,1994-TB,Sugar Blush,9-W-56,Barry Blyth,2018,
1995,1995-TB,Ten Of Hearts,"5-W-21,  9-W-48",Barry Blyth,2015/16,
1996,1996-TB,Agate Away,21-W-13,Jerry Hall,2013,
1997,1997-TB,Allegretto,21-W-10,C. Bethel Martin,1982,
1998,1998-TB,Arvada Mist,21-W-17,Jerry Hall,2009,
1999,1999-TB,Aspenglow,21-W-12,E. Long for Loomis,1956,
2000,2000-TB,At Dawn,21-W-11,Lynda Miller,1988,
2001,2001-TB,Azure Whir,21-W-15,John Durrance,1992,
2002,2002-TB,Balalaika,21-W-14,C. Bethel Martin,1982,
2003,2003-TB,Barely There,21-W-16,Tom Burseen,1994,
2004,2004-TB,Bavarian Cream,21-W-18,Gordon Plough,1978,
2005,2005-TB,Beverly Sills,21-W-19,Ben Hager,1979,
2006,2006-TB,Bolder Boulder,21-W-23,Tom Magee,2000,
2007,2007-TB,Border Ruffian,21-W-25,Ray Lyons,1993,
2008,2008-TB,Brighton Charm,21-W-24,Jerry Hall,2016,
2009,2009-BB,Butterscotch Blush,21-W-26,David Miller,2009,
2010,2010-TB,Café Coffea,21-W-22,David Miller,2005,
2011,2011-TB,Can Can Dancer,21-W-20,Larry Lauer,1997,
2012,2012-TB,Catch A'Blue Streak,21-W-21,David Miller,2016,
2013,2013-TB,Champagne Lady,21-W-28,Ray Lyons,1995,
2015,2015-TB,Cloudling,21-W-27,Tom Magee,2001,
2016,2016-TB,Collage,"6-W-53,  21-W-30",Bob Brown,1986,
2017,2017-TB,Colorado Bonanza,21-W-31,Tom Magee,1996,
2018,2018-TB,Copper,21-W-33,Tom Magee,2007,
2019,2019-TB,Cuchara Pass,21-W-32,David Miller,2015,
2020,2020-TB,Denver Sunset,21-W-39,Orvid R. Olson,2019,
2021,2021-TB,Deserts Rage,21-W-36,David Miller,1997,
2022,2022-TB,Ecru To You,21-W-34,Jerry Hall,2005,
2023,2023-TB,Enchanted Mesa,21-W-35,Tom Magee,1999,
2024,2024-TB,Everything Plus,"18-E-23,  21-W-38",O.D. Niswonger,1984,
2025,2025-TB,Firenze Frolic,21-W-37,C. Gates,1979,
2026,2026-TB,Forest Murmurs,21-E-53,C. Bethel Martin,1982,
2027,2027-TB,Frosted Julep,21-E-51,Tom Magee,2009,
2028,2028-TB,Gentle Dragon,"21-E-52,  C-10-2",L. Miller,1988,
2029,2029-TB,Glorious Reign,21-E-56,Jerry Hall,2005,
2030,2030-TB,Go Lightly,21-E-55,David Miller,2014,
2031,2031-TB,Happy Smiles,21-E-61,Orvid R. Olson,2021,
2032,2032-TB,Heather Noel Hall,21-E-54,Jerry Hall,2009,
2033,2033-TB,Hi Calypso,21-E-59,Joseph Hoage,1998,
2034,2034-TB,Hoop Skirts,21-E-60,T. Magee,1986,
2035,2035-TB,I Love Lace,21-E-62,Jack Durrance,1985,
2036,2036-TB,John Hoehner,21-W-2,Joseph Hoage,1995,
2037,2037-TB,Kare Bear,21-E-58,Jerry Hall,2012,
2038,2038-TB,Katriel Leigh,21-E-2,Lois Olson,2012,
2039,2039-TB,King's Queen,21-E-57,David Miller,2010,
2040,2040-TB,Kiss Of Gold,21-W-3,Gordon Plough,1986,
2041,2041-TB,Lady In Love,21-W-5,David Miller,2017,
2042,2042-TB,Lightning Bug,"21-W-8,  PR-1-8",Jack Durrance,1987,
2043,2043-TB,Local Color,21-W-7,Keith Keppel,1996,
2044,2044-TB,Lois Rainer,21-W-4,Jack Durrance,1988,
2045,2045-TB,Lynne Reid,21-W-6,Jack Durrance,1963,
2046,2046-TB,Mango Glace,21-E-50,David Miller,2019,
2047,2047-BB,Mary McKenna,21-E-48,J. Durrance by A. Bobel,2008,
2048,2048-TB,Mesmerizer,"1-W-6,  21-E-49",Monty Byers,1991,
2049,2049-TB,Morning Thunder,21-E-47,T. Magee,1984,
2050,2050-TB,Mother's Little Helper,21-E-45,Richard Ernst,1995,
2051,2051-TB,Mull It Over,21-E-46,David Miller,2009,
2052,2052-TB,No Bikini Atoll,21-E-42,Richard Ernst,1996,
2053,2053-TB,Oh Say,21-E-41,David Miller,2021,
2054,2054-TB,Opal's Legacy,21-E-40,Joseph Hoage,1993,
2055,2055-TB,Peanutbutter Skies,21-E-39,Jerry Hall,2010,
2056,2056-TB,Platform,21-E-43,Jack Durrance,1989,
2057,2057-TB,Point Made,"8-W-39,  21-E-44",Sterling Innerst,1988,
2058,2058-TB,Princess Ellen,21-E-13,David Miller,2015,
2059,2059-TB,Pulse Of Morning,"21-E-12,  21-W-58",Lois Olson,2010,
2060,2060-TB,Realm Of Mystery,21-E-5,David Miller,2014,
2061,2061-TB,Reis Pudding,21-E-6,Jerry Hall,2005,
2062,2062-TB,Richard B.,21-E-4,Rob Stetson,2004,
2063,2063-TB,Ride Vaquero,"21-E-7,  21-W-61",David Miller,2013,
2064,2064-TB,Rocky Road,21-E-9,David Miller,2009,
2065,2065-TB,Root Beer,21-E-10,Jerry Hall,2015,
2066,2066-TB,Rosita Ruby,21-E-15,Jerry Hall,2011,
2067,2067-TB,Rusty Ripples,21-E-20,"L. Olson,  by Orvid Olson",2017,
2068,2068-TB,Sara Anne-Noel,21-E-24,Jerry Hall,2020,
2069,2069-TB,Scintillation,21-E-11,Schreiner,1981,
2070,2070-TB,Show Miss,21-E-17,Tom Magee,2008,
2071,2071-TB,Silver Heels,21-E-18,Ray Lyons,1988,
2072,2072-TB,Simply Pretty,21-E-29,Joseph Gatty,1986,
2073,2073-TB,Sky Rain,21-E-16,Tom Magee,2000,
2074,2074-TB,Smokey Hayes,21-E-19,Jerry Hall,2018,
2075,2075-TB,Space And Time,21-E-23,David Miller,2013,
2076,2076-TB,Subtle Suggestion,21-E-28,David Miller,2014,
2077,2077-TB,Summer Gown,21-E-25,Opal Brown,1988,
2078,2078-TB,Sun Power,21-E-26,Thomas Johnson,2004,
2079,2079-TB,Sunshine Delight,21-E-38,Jerry Hall,2011,
2080,2080-TB,Teen Star,21-E-27,Lynda Miller,2003,
2081,2081-TB,Terra Cotta Sunset,21-E-32,Jerry Hall,2018,
2082,2082-TB,Theresa Lynn,21-E-34,Joseph Hoage,1995,
2083,2083-TB,Thistledew,21-E-31,Jerry Hall,2011,
2084,2084-TB,Trigo Padigo,21-E-33,David Miller,2016,
2085,2085-TB,Tumbleweed Waltz,21-E-30,Rob Stetson,1997,
2086,2086-TB,Vickerman Valley,21-E-35,Jerry Hall,2010,
2087,2087-TB,Violet Rings,21-E-37,James Gibson,1986,
2088,2088-TB,What's My Line,21-E-36,Paul Black,2004,
2089,2089-TB,Zebra,21-E-1,Unknown,Pre-1950,
2090,2090-TB,A Million Dreams,C-35-1,Thomas Johnson,2023,
2091,2091-BB,Adolescence,"3-E-29,  3-W-47,  B-5-2,  C-5-2",Keith Keppel,2021,
2092,2092-TB,Aime Bay,3-E-14,S. Boivin,2015,
2093,2093-TB,All Stitched Up,"5-E-19,  5-W-32",Thomas Johnson,2023,
2094,2094-TB,All Too Exciting,"7-W-3,  C-46-2",P. Black,2018,
2095,2095-TB,Almost Taste It,3-W-49,T. Johnson,2020,
2096,2096-TB,Ambrosia Of The Gods,5-E-31,Paul Black,2023,
2097,2097-TB,America's Top Model,C-44-1,Paul Black,2023,
2098,2098-TB,Apricot Smoothie,3-E-15,T. Johnson,2018,
2099,2099-TB,Autumn Tease,"4-E-9,  C-36-7",T. Johnson,2019,
2100,2100-TB,Awesome Wonder,4-W-54,T. Johnson,2020,
2101,2101-TB,Ballroom Belle,3-W-36,T. Johnson,2020,
2102,2102-TB,Baltic Sea,"4-E-31,  C-41-10",Thomas Johnson,2008,
2103,2103-TB,Barbara Rider,C-43-2,T. Johnson,2015,
2104,2104-TB,Bashful Look,C-11-2,Thomas Johnson,2021,
2105,2105-TB,Bashful Princess,4-W-47,P. Black,2013,
2106,2106-TB,Be The Light,5-W-52,Thomas Johnson,2023,
2107,2107-TB,Beachy Queen,4-W-30,Thomas Johnson,2021,
2108,2108-TB,Beautician,"3-W-34,  16-W-16,  C-45-3",T. Johnson,2019,
2109,2109-TB,Beauty Option,3-W-40,B. Blyth,2020,
2110,2110-TB,Belle Fille,C-24-9,M. Smith,2015,
2111,2111-TB,Berserk,"4-W-46,  6-E-8",T. Johnson,2014,
2113,2113-TB,Black Lipstick,"3-E-11,  3-E-26,  B-27-1,  B-31-2",Keith Keppel,2016,
2114,2114-TB,Blushing Doll,3-W-15,T. Johnson,2019,
2115,2115-TB,Blushing Love,"1-W-47,  5-E-23,  C-13-7",Thomas Johnson,2021,
2116,2116-TB,Boogie Woogie Bugle Boy,"C-22-1,  C-38-7",Paul Black,2022,
2117,2117-TB,Born This Way,3-W-45,T. Johnson,2015,
2118,2118-TB,Born To Party,2-E-37,Thomas Johnson,2023,
2119,2119-TB,Brainteaser,4-E-37,T. Johnson,2018,
2120,2120-TB,Brass Lamp,"3-W-43,  4-E-23,  5-W-1,  B-39-3",Keith Keppel,2018,
2121,2121-TB,Break In,C-29-2,P. Black,2019,
2122,2122-TB,Breaking Free,3-E-20,P. Black,2020,
2123,2123-TB,Breath Of Fresh Air,C-42-2,Thomas Johnson,2023,
2124,2124-TB,Candy Dust,C-11-11,T. Johnson,2020,
2125,2125-TB,Can't Stop Loving You,C-8-7,Thomas Johnson,2023,
2126,2126-TB,Caribbean Queen,3-W-5,Thomas Johnson,2018,
2127,2127-TB,Carry A Tune,"5-E-46,  14-E-4",Thomas Johnson,2023,
2128,2128-TB,Cat Tales,3-W-39,Paul Black,2018,
2129,2129-TB,Catch My Breath,4-W-34,Thomas Johnson,2015,
2130,2130-TB,Catch The Fever,"4-W-35,  B-22-4,  B-46-3",Keith Keppel,2018,
2131,2131-TB,Champagne Dream,3-W-29,Thomas Johnson,2019,
2132,2132-TB,Character Study,5-E-21,Thomas Johnson,2023,
2133,2133-TB,Cherokee Blaze,4-E-7,John Painter,2013,
2134,2134-IB,Cher's Fancy Idea,3-E-22,Paul Black,2022,
2135,2135-TB,Circle Of Light,3-W-53,Paul Black,2009,
2136,2136-TB,Cloud Gate,4-E-8,Paul Black,2018,
2137,2137-TB,Collusion,"3-W-11,  A-44-2",Keith Keppel,2020,
2138,2138-TB,Color Wheel,3-W-14,Paul Black,2017,
2139,2139-TB,Coloricious,C-23-2,Paul Black,2020,
2140,2140-TB,Come To Life,C-7-9,Thomas Johnson,2020,
2141,2141-TB,Confection Perfection,3-E-13,Paul Black,2020,
2142,2142-TB,Conniption Fit,"C-8-8,  C-8-9",Thomas Johnson,2020,
2143,2143-AB,Conspiracy Theory,3-W-30,Paul Black,2020,
2144,2144-TB,Coralina,3-E-8,Thomas Johnson,2014,
2145,2145-TB,Countess,3-E-10,Paul Black,2018,
2146,2146-TB,Creature Of The Night,4-W-20,Paul Black,2018,
2147,2147-TB,Curve Ball,3-W-19,Thomas Johnson,2018,
2148,2148-TB,Daffy Duck,C-29-1,Paul Black,2016,
2149,2149-TB,Daring Deception,"3-W-51,  15-W-75",Thomas Johnson,2012,
2150,2150-TB,Dark Universe,"3-W-6,  4-E-43,  A-42-1",Keith Keppel,2019,
2151,2151-BB,Delectable Treat,"3-W-33,  C-23-3",Paul Black,2019,
2152,2152-TB,Delectation,C-9-4,Stephane Boivin,2015,
2153,2153-TB,Destiny's Kiss,4-E-34,Barry Blyth,2021,
2154,2154-TB,Devoted To You,C-7-8,Thomas Johnson,2023,
2155,2155-TB,Dignified,4-W-33,Thomas Johnson,2017,
2156,2156-TB,Disco Lights,3-W-26,Thomas Johnson,2018,
2157,2157-TB,Don't Stop Believing,C-31-2,Thomas Johnson,2013,
2158,2158-TB,Down In Mexico,4-W-55,Thomas Johnson,2018,
2159,2159-TB,Drag Race,3-W-20,Paul Black,2020,
2160,2160-TB,Easy On The Eyes,"4-W-41,  C-36-12",Thomas Johnson,2019,
2161,2161-TB,Edwardian Era,"3-W-35,  A-40-5,  B-38-3",Keith Keppel,2018,
2162,2162-TB,Eleganza,4-W-50,Thomas Johnson,2014,
2163,2163-TB,Elite,3-E-21,Thomas Johnson,2018,
2164,2164-TB,Evening Festival,C-23-9,Thomas Johnson,2023,
2165,2165-TB,Eyes Of An Angel,4-W-29,Thomas Johnson,2021,
2166,2166-TB,Fairy Tale Romance,4-E-26,Thomas Johnson,2019,
2167,2167-TB,Fantasmagorical,15-W-77,Paul Black,2020,
2168,2168-TB,Fashion Week,3-E-9,Thomas Johnson,2015,
2169,2169-TB,Feast For The Eyes,C-23-7,Paul Black,2023,
2170,2170-TB,Feel The Beat,C-8-5,Thomas Johnson,2023,
2171,2171-TB,Fields Of Gold,C-8-14,Thomas Johnson,2023,
2172,2172-TB,Final Answer,5-E-39,Thomas Johnson,2023,
2173,2173-TB,Fine Romance,3-E-12,Thomas Johnson,2013,
2174,2174-TB,Flamingo Frenzy,4-E-6,Thomas Johnson,2012,
2175,2175-TB,Flirty Tease,"4-W-9,  13-W-51",Thomas Johnson,2022,
2176,2176-TB,Fond Of You,C-7-5,Thomas Johnson,2023,
2177,2177-TB,Foolish Girl,4-E-36,Thomas Johnson,2022,
2178,2178-TB,Fresh Morning Shower,4-E-24,Paul Black,2021,
2179,2179-TB,Full Of Hope,3-W-24,Thomas Johnson,2018,
2180,2180-TB,Gala Event,5-W-49,Thomas Johnson,2023,
2181,2181-BB,Gay Romance,C-40-2,Paul Black,2020,
2182,2182-TB,Gem Trader,C-21-9,Barry Blyth,2019,
2183,2183-TB,Girl Gone Wild,3-E-17,Thomas Johnson,2013,
2184,2184-TB,Gone Viral,C-14-6,Thomas Johnson,2023,
2185,2185-TB,Good Morning Sunshine,3-W-23,Thomas Johnson,2014,
2186,2186-TB,Gossamer Veil,"4-W-44,  A-43-3,  B-43-0",Keith Keppel,2019,
2187,2187-TB,Grace And Beauty,5-E-11,Barry Blyth,2023,
2188,2188-TB,Hat In The Ring,4-E-41,Joseph Ghio,2019,
2189,2189-TB,Hear Me Roar,4-W-22,Thomas Johnson,2019,
2190,2190-AB,Heart Of Hearts,"3-W-21,  PR-2-46",Paul Black,2015,
2191,2191-TB,Heat Is On,4-W-40,Thomas Johnson,2013,
2192,2192-TB,Heavenly Sign,4-W-18,Joseph Ghio,2019,
2193,2193-TB,Here Comes Trouble,"C-9-8,  C-9-9",Thomas Johnson,2023,
2194,2194-TB,Hey Look Me Over,C-12-5,Paul Black,2021,
2195,2195-TB,Higher Love,4-W-48,Thomas Johnson,2017,
2196,2196-TB,Hit The Bullseye,C-12-11,Thomas Johnson,2023,
2197,2197-TB,Hold Me Now,"3-E-16,  9-E-26",Thomas Johnson,2016,
2198,2198-TB,Honor Roll,4-W-17,Thomas Johnson,2022,
2199,2199-TB,How Wonderful,3-W-48,Thomas Johnson,2019,
2200,2200-TB,I Broke It,C-24-4,Paul Black,2018,
2201,2201-TB,Ignite The Light,4-E-14,Thomas Johnson,2021,
2202,2202-TB,I'm Not Stable,C-12-4,Paul Black,2020,
2203,2203-TB,In Abundance,C-47-3,Thomas Johnson,2023,
2204,2204-TB,Indecisive,5-W-40,Paul Black,2023,
2205,2205-TB,Instant Attraction,C-16-7,Paul Black,2019,
2206,2206-TB,Just Between Us,5-E-28,Thomas Johnson,2023,
2207,2207-TB,Kindred,"B-22-3,  C-18-8","Philip W. Remare, deceased, by Keith Keppel",2022,
2208,2208-TB,King's Reign,3-W-50,Thomas Johnson,2015,
2209,2209-TB,Kissed By An Angel,4-E-12,Thomas Johnson,2018,
2210,2210-TB,Lash Out,"3-E-6,  15-W-7,  C-33-8",Paul Black,2019,
2211,2211-TB,Lavender Breeze,3-W-37,Thomas Johnson,2019,
2212,2212-TB,Learning To Love,5-E-43,Thomas Johnson,2023,
2213,2213-TB,Lessons In Love,4-W-15,Thomas Johnson,2022,
2214,2214-TB,Let Me Be There,C-16-1,Thomas Johnson,2023,
2215,2215-TB,Let's Snuggle,C-10-3,Thomas Johnson,2020,
2216,2216-TB,Loads Of Love,4-E-40,Paul Black,2020,
